,season,date,home-team,home-lat,home-long,vis-team,vis-lat,vis-long,intl-flag,intl-lat,intl-long,travel team,distance (miles)
168,2007,2007-11-11,LVR,37.721298,-122.221001,CHI,41.97859955,-87.90480042,0,,,CHI,1835.7629300810884
169,2007,2007-11-11,BAL,39.17539978,-76.66829681,CIN,39.04880142,-84.6678009,0,,,CIN,429.8596003630637
170,2007,2007-11-11,WSH,38.8521,-77.037697,PHL,39.87189865,-75.2410965,0,,,PHL,119.18450399145989
171,2007,2007-11-11,TEN,36.12450027,-86.67819977,JAX,30.49410057,-81.68789673,0,,,JAX,483.50972494921473
172,2007,2007-11-11,CAR,35.2140007,-80.94309998,ATL,33.63669968,-84.42810059,0,,,ATL,226.78881532504536
173,2007,2007-11-11,NOS,29.99340057,-90.25800323,LAR,38.748697,-90.370003,0,,,LAR,603.5245460344648
174,2007,2007-11-11,GBP,44.48509979,-88.12960052,MIN,44.88199997,-93.22180176,0,,,MIN,252.30251835754595
175,2007,2007-11-11,PIT,40.49150085,-80.23290253,CLE,41.4117012,-81.84980011,0,,,CLE,105.76929934841492
176,2007,2007-11-11,MIA,25.79319954,-80.29060364,BUF,42.94049835,-78.73220062,0,,,BUF,1185.2546419688558
177,2007,2007-11-11,KCC,39.2976,-94.713898,DEN,39.86169815,-104.6729965,0,,,DEN,532.812934596958
178,2007,2007-11-05,PIT,40.49150085,-80.23290253,BAL,39.17539978,-76.66829681,0,,,BAL,210.19908727303903
179,2007,2007-11-04,PHL,39.87189865,-75.2410965,DAL,32.89680099,-97.03800201,0,,,DAL,1302.6678289439599
180,2007,2007-11-04,IND,39.7173,-86.294403,NEP,42.36429977,-71.00520325,0,,,NEP,818.2043430181185
181,2007,2007-11-04,LVR,37.721298,-122.221001,HOU,29.64539909,-95.27890015,0,,,HOU,1642.057717042698
182,2007,2007-11-04,CLE,41.4117012,-81.84980011,SEA,47.44900131,-122.3089981,0,,,SEA,2020.7553906600115
183,2007,2007-11-04,MIN,44.88199997,-93.22180176,LAC,32.73360062,-117.1900024,0,,,LAC,1532.1603263949573
184,2007,2007-11-04,NYJ,40.77719879,-73.87259674,WSH,38.8521,-77.037697,0,,,WSH,214.44455956986727
185,2007,2007-11-04,NOS,29.99340057,-90.25800323,JAX,30.49410057,-81.68789673,0,,,JAX,513.5847717524905
186,2007,2007-11-04,DET,42.21239853,-83.35340118,DEN,39.86169815,-104.6729965,0,,,DEN,1122.6804636607965
187,2007,2007-11-04,TEN,36.12450027,-86.67819977,CAR,35.2140007,-80.94309998,0,,,CAR,328.6421252845884
188,2007,2007-11-04,BUF,42.94049835,-78.73220062,CIN,39.04880142,-84.6678009,0,,,CIN,410.2039202103478
189,2007,2007-11-04,ATL,33.63669968,-84.42810059,SFF,37.61899948,-122.375,0,,,SFF,2138.896589856063
190,2007,2007-11-04,KCC,39.2976,-94.713898,GBP,44.48509979,-88.12960052,0,,,GBP,493.0960759719202
191,2007,2007-11-04,TBB,27.97550011,-82.53320313,ARZ,33.43429947,-112.012001,0,,,ARZ,1788.209183627953
192,2007,2007-12-30,IND,39.7173,-86.294403,TEN,36.12450027,-86.67819977,0,,,TEN,248.67712265751138
193,2007,2007-12-30,BAL,39.17539978,-76.66829681,PIT,40.49150085,-80.23290253,0,,,PIT,210.19908727303903
194,2007,2007-12-30,DEN,39.86169815,-104.6729965,MIN,44.88199997,-93.22180176,0,,,MIN,679.9008766226004
195,2007,2007-12-30,LVR,37.721298,-122.221001,LAC,32.73360062,-117.1900024,0,,,LAC,446.1738825822018
196,2007,2007-12-30,NYJ,40.77719879,-73.87259674,KCC,39.2976,-94.713898,0,,,KCC,1107.342426890212
197,2007,2007-12-30,WSH,38.8521,-77.037697,DAL,32.89680099,-97.03800201,0,,,DAL,1191.966359372909
198,2007,2007-12-30,ARZ,33.43429947,-112.012001,LAR,38.748697,-90.370003,0,,,LAR,1261.8139458614312
199,2007,2007-12-30,ATL,33.63669968,-84.42810059,SEA,47.44900131,-122.3089981,0,,,SEA,2181.7802733291646
200,2007,2007-12-30,CLE,41.4117012,-81.84980011,SFF,37.61899948,-122.375,0,,,SFF,2161.340156175145
201,2007,2007-12-30,MIA,25.79319954,-80.29060364,CIN,39.04880142,-84.6678009,0,,,CIN,948.2176615878451
202,2007,2007-12-30,HOU,29.64539909,-95.27890015,JAX,30.49410057,-81.68789673,0,,,JAX,815.86275412831
203,2007,2007-12-30,GBP,44.48509979,-88.12960052,DET,42.21239853,-83.35340118,0,,,DET,287.1787089519704
204,2007,2007-12-30,TBB,27.97550011,-82.53320313,CAR,35.2140007,-80.94309998,0,,,CAR,507.4318800649284
205,2007,2007-12-30,PHL,39.87189865,-75.2410965,BUF,42.94049835,-78.73220062,0,,,BUF,278.77470001937445
206,2007,2007-12-30,CHI,41.97859955,-87.90480042,NOS,29.99340057,-90.25800323,0,,,NOS,836.7038022148595
207,2007,2007-12-29,NYG,40.77719879,-73.87259674,NEP,42.36429977,-71.00520325,0,,,NEP,184.58952459305408
208,2007,2007-12-24,LAC,32.73360062,-117.1900024,DEN,39.86169815,-104.6729965,0,,,DEN,852.8168082301714
209,2007,2007-12-23,MIN,44.88199997,-93.22180176,WSH,38.8521,-77.037697,0,,,WSH,930.5860845065388
210,2007,2007-12-23,SEA,47.44900131,-122.3089981,BAL,39.17539978,-76.66829681,0,,,BAL,2334.7600971712145
211,2007,2007-12-23,TEN,36.12450027,-86.67819977,NYJ,40.77719879,-73.87259674,0,,,NYJ,764.1290550012372
212,2007,2007-12-23,NEP,42.36429977,-71.00520325,MIA,25.79319954,-80.29060364,0,,,MIA,1258.286329895695
213,2007,2007-12-23,SFF,37.61899948,-122.375,TBB,27.97550011,-82.53320313,0,,,TBB,2392.58699868398
214,2007,2007-12-23,ARZ,33.43429947,-112.012001,ATL,33.63669968,-84.42810059,0,,,ATL,1587.3215015784374
215,2007,2007-12-23,CHI,41.97859955,-87.90480042,GBP,44.48509979,-88.12960052,0,,,GBP,173.40177851639444
216,2007,2007-12-23,NOS,29.99340057,-90.25800323,PHL,39.87189865,-75.2410965,0,,,PHL,1088.434007025003
217,2007,2007-12-23,JAX,30.49410057,-81.68789673,LVR,37.721298,-122.221001,0,,,LVR,2357.637352349112
218,2007,2007-12-23,DET,42.21239853,-83.35340118,KCC,39.2976,-94.713898,0,,,KCC,628.5353994774407
219,2007,2007-12-23,IND,39.7173,-86.294403,HOU,29.64539909,-95.27890015,0,,,HOU,861.3598052971684
220,2007,2007-12-23,CIN,39.04880142,-84.6678009,CLE,41.4117012,-81.84980011,0,,,CLE,220.85180924256548
221,2007,2007-12-23,BUF,42.94049835,-78.73220062,NYG,40.77719879,-73.87259674,0,,,NYG,291.7436098287957
